#YY,MM,DD,hhmm,LAT,LON,WDIR,WSPD,GST,PRES,PTDY,ATMP,WTMP,DEWP,WVHT,DPD
2024,05,18,1500,34.00,127.50,350,1.0,MM,MM,MM,17.6,18.3,MM,0.5,4
2024,05,18,1400,34.00,127.50,20,1.0,MM,MM,MM,17.5,17.4,MM,0.5,4
2024,05,18,1300,34.00,127.50,30,2.0,MM,MM,MM,17.6,17.5,MM,0.5,4
2024,05,18,1200,34.00,127.50,120,1.0,MM,MM,MM,17.8,17.9,MM,0.5,4
2024,05,18,1100,34.00,127.50,120,2.0,MM,MM,MM,18.1,17.9,MM,0.5,4
2024,05,18,1000,34.00,127.50,120,2.0,MM,MM,MM,18.5,18.3,MM,0.5,4
2024,05,18,0900,34.00,127.50,110,1.0,MM,MM,MM,19.0,18.0,MM,0.5,4
2024,05,18,0800,34.00,127.50,120,2.0,MM,MM,MM,19.3,18.7,MM,0.5,4
2024,05,18,0700,34.00,127.50,130,2.0,MM,MM,MM,19.3,18.8,MM,0.5,4
2024,05,18,0600,34.00,127.50,130,2.0,MM,MM,MM,19.1,18.7,MM,0.5,4
2024,05,18,0500,34.00,127.50,130,2.0,MM,MM,MM,18.9,18.1,MM,0.5,4
2024,05,18,0400,34.00,127.50,140,2.0,MM,MM,MM,18.3,17.3,MM,0.5,4
2024,05,18,0300,34.00,127.50,140,3.0,MM,MM,MM,18.2,17.2,MM,0.5,4
2024,05,18,0200,34.00,127.50,140,3.0,MM,MM,MM,18.1,17.2,MM,0.5,4
2024,05,18,0100,34.00,127.50,140,3.0,MM,MM,MM,17.9,17.0,MM,0.5,4
2024,05,18,0000,34.00,127.50,130,3.0,MM,MM,MM,17.6,16.8,MM,0.5,4
2024,05,17,2300,34.00,127.50,130,3.0,MM,MM,MM,17.3,16.8,MM,0.5,4
2024,05,17,2200,34.00,127.50,140,3.0,MM,MM,MM,17.3,16.9,MM,0.5,4
2024,05,17,2100,34.00,127.50,110,3.0,MM,MM,MM,17.0,16.8,MM,0.5,4
2024,05,17,2000,34.00,127.50,110,2.0,MM,MM,MM,17.0,16.8,MM,0.5,5
2024,05,17,1900,34.00,127.50,120,2.0,MM,MM,MM,16.9,16.8,MM,0.5,4
2024,05,17,1800,34.00,127.50,120,2.0,MM,MM,MM,17.1,16.7,MM,0.5,5
2024,05,17,1700,34.00,127.50,120,2.0,MM,MM,MM,16.9,16.7,MM,0.5,5
2024,05,17,1600,34.00,127.50,130,2.0,MM,MM,MM,17.5,16.9,MM,0.5,4
2024,05,17,1500,34.00,127.50,140,2.0,MM,MM,MM,17.6,16.9,MM,0.5,4
2024,05,17,1400,34.00,127.50,130,2.0,MM,MM,MM,17.7,17.1,MM,0.5,4
2024,05,17,1300,34.00,127.50,200,2.0,MM,MM,MM,18.7,17.1,MM,0.5,4
2024,05,17,1200,34.00,127.50,260,3.0,MM,MM,MM,17.6,17.0,MM,0.5,4
2024,05,17,1100,34.00,127.50,160,2.0,MM,MM,MM,18.2,16.9,MM,0.5,4
2024,05,17,1000,34.00,127.50,240,3.0,MM,MM,MM,18.2,16.8,MM,0.5,4
2024,05,17,0900,34.00,127.50,250,3.0,MM,MM,MM,18.5,17.1,MM,1.0,4
2024,05,17,0800,34.00,127.50,190,5.0,MM,MM,MM,18.3,17.0,MM,1.0,4
2024,05,17,0700,34.00,127.50,200,6.0,MM,MM,MM,18.2,16.9,MM,1.0,4
2024,05,17,0600,34.00,127.50,200,7.0,MM,MM,MM,18.5,16.8,MM,1.0,4
2024,05,17,0500,34.00,127.50,210,6.0,MM,MM,MM,18.2,16.9,MM,1.0,4
2024,05,17,0400,34.00,127.50,200,5.0,MM,MM,MM,18.4,17.4,MM,0.5,4
2024,05,17,0300,34.00,127.50,220,4.0,MM,MM,MM,18.5,17.6,MM,0.5,4
2024,05,17,0200,34.00,127.50,170,3.0,MM,MM,MM,18.1,17.4,MM,0.5,4
2024,05,17,0100,34.00,127.50,140,1.0,MM,MM,MM,18.5,17.1,MM,0.5,4
2024,05,17,0000,34.00,127.50,230,1.0,MM,MM,MM,17.4,16.6,MM,0.5,4
2024,05,16,2300,34.00,127.50,240,2.0,MM,MM,MM,17.1,16.4,MM,0.5,4
2024,05,16,2200,34.00,127.50,260,4.0,MM,MM,MM,16.9,16.4,MM,1.0,5
2024,05,16,2100,34.00,127.50,260,5.0,MM,MM,MM,17.0,16.4,MM,0.5,5
2024,05,16,2000,34.00,127.50,300,3.0,MM,MM,MM,17.0,16.4,MM,0.5,4
2024,05,16,1900,34.00,127.50,280,4.0,MM,MM,MM,16.9,16.4,MM,0.5,4
2024,05,16,1800,34.00,127.50,270,5.0,MM,MM,MM,17.1,16.5,MM,0.5,4
2024,05,16,1700,34.00,127.50,270,4.0,MM,MM,MM,16.8,16.5,MM,0.5,4
2024,05,16,1600,34.00,127.50,270,8.0,MM,MM,MM,16.9,16.5,MM,0.5,4
2024,05,16,1500,34.00,127.50,240,6.0,MM,MM,MM,16.9,16.5,MM,1.0,4
2024,05,16,1400,34.00,127.50,280,9.0,MM,MM,MM,17.1,16.5,MM,1.0,4
2024,05,16,1300,34.00,127.50,270,8.0,MM,MM,MM,16.9,16.5,MM,1.0,4
2024,05,16,1200,34.00,127.50,260,10.0,MM,MM,MM,16.9,16.5,MM,1.0,4
2024,05,16,1100,34.00,127.50,260,10.0,MM,MM,MM,17.0,16.5,MM,1.0,4
2024,05,16,1000,34.00,127.50,260,9.0,MM,MM,MM,17.2,16.6,MM,1.0,4
2024,05,16,0900,34.00,127.50,270,11.0,MM,MM,MM,17.5,16.6,MM,1.0,4
2024,05,16,0800,34.00,127.50,260,9.0,MM,MM,MM,17.2,16.6,MM,1.0,5
2024,05,16,0700,34.00,127.50,260,11.0,MM,MM,MM,17.3,16.5,MM,1.0,4
2024,05,16,0600,34.00,127.50,260,11.0,MM,MM,MM,17.0,16.6,MM,1.0,4
2024,05,16,0500,34.00,127.50,270,10.0,MM,MM,MM,16.9,16.4,MM,1.0,4
2024,05,16,0400,34.00,127.50,270,10.0,MM,MM,MM,16.5,16.4,MM,1.0,4
2024,05,16,0300,34.00,127.50,280,9.0,MM,MM,MM,16.4,16.5,MM,1.0,4
2024,05,16,0200,34.00,127.50,270,11.0,MM,MM,MM,16.2,16.4,MM,1.0,4
2024,05,16,0100,34.00,127.50,290,8.0,MM,MM,MM,16.4,16.4,MM,1.0,4
2024,05,16,0000,34.00,127.50,300,10.0,MM,MM,MM,15.7,16.3,MM,1.0,4
2024,05,15,2300,34.00,127.50,300,10.0,MM,MM,MM,15.3,16.4,MM,1.0,4
2024,05,15,2200,34.00,127.50,300,11.0,MM,MM,MM,15.1,16.4,MM,1.0,5
2024,05,15,2100,34.00,127.50,300,12.0,MM,MM,MM,14.7,16.4,MM,1.5,5
2024,05,15,2000,34.00,127.50,300,14.0,MM,MM,MM,14.5,16.4,MM,1.5,5
2024,05,15,1900,34.00,127.50,300,14.0,MM,MM,MM,14.9,16.4,MM,1.5,5
2024,05,15,1800,34.00,127.50,300,14.0,MM,MM,MM,15.1,16.3,MM,1.5,5
2024,05,15,1700,34.00,127.50,290,15.0,MM,MM,MM,15.1,16.3,MM,1.5,5
2024,05,15,1600,34.00,127.50,300,14.0,MM,MM,MM,15.3,16.3,MM,1.5,4
2024,05,15,1500,34.00,127.50,300,13.0,MM,MM,MM,15.3,16.3,MM,1.0,4
2024,05,15,1400,34.00,127.50,290,12.0,MM,MM,MM,14.9,16.2,MM,1.0,4
2024,05,15,1300,34.00,127.50,290,14.0,MM,MM,MM,14.8,16.2,MM,1.0,4
2024,05,15,1200,34.00,127.50,300,12.0,MM,MM,MM,14.5,16.3,MM,1.0,4
2024,05,15,1100,34.00,127.50,300,16.0,MM,MM,MM,14.2,16.4,MM,1.0,4
2024,05,15,1000,34.00,127.50,300,13.0,MM,MM,MM,15.2,16.6,MM,1.0,4
