#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,0.7,0.7,11.4,0.2,3.7,W,WSW,,6.0,275
2024,05,18,16,40,0.7,0.7,12.9,0.2,4.0,W,W,,6.1,274
2024,05,18,16,10,0.7,0.7,12.1,0.2,3.8,W,WSW,,6.0,275
2024,05,18,15,40,0.7,0.7,9.1,0.2,3.4,W,W,,6.0,275
2024,05,18,15,10,0.8,0.7,8.3,0.3,3.6,W,W,,5.8,276
2024,05,18,14,40,0.7,0.7,8.3,0.3,2.9,W,WSW,,5.5,281
2024,05,18,14,10,0.8,0.8,9.1,0.3,3.0,W,W,SWELL,5.9,274
2024,05,18,13,40,0.9,0.8,9.1,0.3,3.8,WNW,WSW,SWELL,6.2,283
2024,05,18,13,10,0.9,0.8,10.0,0.3,3.3,W,W,SWELL,5.9,278
2024,05,18,12,40,0.8,0.7,12.1,0.3,3.6,WNW,WSW,SWELL,5.5,285
2024,05,18,12,10,0.8,0.8,9.1,0.3,3.2,W,WSW,SWELL,5.4,278
2024,05,18,11,40,0.7,0.6,12.9,0.4,3.4,W,W,,4.8,271
2024,05,18,11,10,0.8,0.7,12.1,0.4,3.7,W,W,,5.1,279
2024,05,18,10,40,0.8,0.7,12.9,0.4,3.8,W,WSW,SWELL,5.2,271
2024,05,18,10,10,0.8,0.7,12.9,0.4,3.8,WNW,WSW,SWELL,5.1,285
2024,05,18,09,40,0.8,0.7,10.0,0.5,4.0,WNW,W,SWELL,4.9,282
2024,05,18,09,10,0.9,0.7,12.9,0.5,3.7,W,W,SWELL,4.9,264
2024,05,18,08,40,0.9,0.7,12.9,0.5,4.8,WNW,WSW,SWELL,4.7,284
2024,05,18,08,10,0.8,0.6,12.9,0.5,3.7,W,W,SWELL,4.6,270
2024,05,18,07,40,0.9,0.6,12.9,0.6,4.0,WNW,W,SWELL,4.6,286
2024,05,18,07,10,0.8,0.6,12.9,0.6,4.2,WSW,W,SWELL,4.5,250
2024,05,18,06,40,0.9,0.6,12.9,0.6,4.3,W,W,SWELL,4.3,271
2024,05,18,06,10,0.9,0.7,12.9,0.5,4.0,W,WNW,SWELL,4.4,264
