#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,20,0.6,0.6,6.2,0.1,2.2,,,,5.9,-99
2024,05,18,16,20,0.6,0.6,6.7,0.0,MM,,,,6.0,-99
2024,05,18,15,20,0.6,0.5,6.7,0.2,2.4,,,,5.8,-99
2024,05,18,14,20,0.6,0.6,6.7,0.2,2.3,,,,5.9,-99
2024,05,18,13,20,0.6,0.5,4.8,0.1,2.6,,,,5.9,-99
2024,05,18,12,20,0.6,0.6,6.7,0.0,MM,,,,5.9,-99
2024,05,18,11,20,0.6,0.5,6.7,0.2,2.6,,,,5.8,-99
2024,05,18,10,20,0.6,0.5,7.1,0.3,2.5,,,,5.5,-99
2024,05,18,09,20,0.6,0.5,6.7,0.3,2.4,,,,5.4,-99
2024,05,18,08,20,0.6,0.5,7.1,0.3,2.6,,,,5.5,-99
2024,05,18,07,20,0.6,0.5,7.1,0.3,2.6,,,,5.3,-99
2024,05,18,06,20,0.6,0.5,7.1,0.3,3.0,,,,5.4,-99
2024,05,18,05,20,0.6,0.5,7.1,0.3,2.3,,,,5.4,-99
2024,05,18,04,20,0.6,0.5,7.1,0.3,2.4,,,,5.4,-99
2024,05,18,03,20,0.6,0.5,5.6,0.3,2.2,,,,5.5,-99
2024,05,18,02,20,0.6,0.5,7.7,0.3,2.4,,,,5.6,-99
2024,05,18,01,20,0.6,0.5,7.7,0.2,2.3,,,,5.9,-99
2024,05,18,00,20,0.5,0.5,5.0,0.2,2.5,,,,5.6,-99
2024,05,17,23,20,0.6,0.5,4.8,0.3,2.3,,,,5.3,-99
2024,05,17,22,20,0.6,0.4,5.9,0.4,2.1,,,,5.1,-99
2024,05,17,21,20,0.6,0.5,5.3,0.4,2.4,,,,5.2,-99
2024,05,17,20,20,0.6,0.4,5.6,0.5,2.2,,,,5.0,-99
2024,05,17,19,20,0.6,0.4,5.3,0.5,2.2,,,,4.9,-99
2024,05,17,18,20,0.7,0.4,5.3,0.5,2.3,,,,5.0,-99
2024,05,17,17,20,0.7,0.5,5.9,0.4,2.4,,,,5.1,-99
2024,05,17,16,20,0.6,0.5,5.0,0.4,2.3,,,,5.2,-99
2024,05,17,15,20,0.7,0.5,4.8,0.4,2.0,,,,5.2,-99
2024,05,17,14,20,0.6,0.5,5.0,0.3,1.9,,,,5.3,-99
2024,05,17,13,20,0.6,0.6,5.6,0.0,MM,,,,5.8,-99
2024,05,17,12,20,0.6,0.6,5.3,0.2,2.0,,,,5.5,-99
2024,05,17,11,20,0.6,0.5,5.3,0.3,2.0,,,,5.1,-99
2024,05,17,10,20,0.6,0.5,5.6,0.4,1.8,,,,4.8,-99
2024,05,17,09,20,0.6,0.5,6.2,0.4,1.9,,,,4.6,-99
2024,05,17,08,20,0.6,0.5,5.3,0.5,1.9,,,,4.6,-99
2024,05,17,07,20,0.6,0.5,5.9,0.3,2.0,,,,4.9,-99
2024,05,17,06,20,0.6,0.5,5.9,0.3,2.0,,,,5.0,-99
2024,05,17,05,20,0.6,0.6,5.0,0.3,1.9,,,,5.1,-99
2024,05,17,04,20,0.6,0.6,4.8,0.3,3.8,,,,5.2,-99
2024,05,17,03,20,0.7,0.6,5.9,0.2,1.8,,,,5.3,-99
2024,05,17,02,20,0.6,0.6,6.2,0.0,MM,,,,5.7,-99
2024,05,17,01,20,0.6,0.6,4.8,0.0,MM,,,,5.8,-99
2024,05,17,00,20,0.5,0.5,5.0,0.0,MM,,,,6.1,-99
2024,05,16,23,20,0.5,0.5,5.9,0.0,MM,,,,6.7,-99
2024,05,16,22,20,0.5,0.5,6.7,0.0,MM,,,,6.6,-99
2024,05,16,21,20,0.5,0.5,5.9,0.0,MM,,,,6.9,-99
2024,05,16,20,20,0.5,0.5,5.6,0.0,MM,,,,6.7,-99
2024,05,16,19,20,0.6,0.6,5.9,0.0,MM,,,,7.2,-99
2024,05,16,18,20,0.6,0.6,6.2,0.0,MM,,,,7.2,-99
2024,05,16,17,20,0.5,0.5,5.9,0.0,MM,,,,6.9,-99
2024,05,16,16,20,0.5,0.5,5.6,0.0,MM,,,,6.3,-99
2024,05,16,15,20,0.6,0.6,5.6,0.0,MM,,,,6.8,-99
2024,05,16,14,20,0.5,0.5,5.9,0.0,MM,,,,6.7,-99
2024,05,16,13,20,0.5,0.5,6.2,0.0,MM,,,,6.9,-99
2024,05,16,12,20,0.6,0.6,5.6,0.0,MM,,,,7.2,-99
2024,05,16,11,20,0.5,0.5,6.2,0.0,MM,,,,7.0,-99
2024,05,16,10,20,0.5,0.5,5.9,0.0,MM,,,,6.9,-99
2024,05,16,09,20,0.5,0.5,5.9,0.0,MM,,,,7.0,-99
2024,05,16,08,20,0.5,0.5,6.2,0.0,MM,,,,6.6,-99
2024,05,16,07,20,0.6,0.6,5.6,0.0,MM,,,,7.2,-99
2024,05,16,06,20,0.6,0.6,6.7,0.0,MM,,,,6.7,-99
2024,05,16,05,20,0.6,0.6,5.0,0.0,MM,,,,6.9,-99
2024,05,16,04,20,0.6,0.6,5.0,0.0,MM,,,,6.5,-99
2024,05,16,03,20,0.6,0.6,6.7,0.0,MM,,,,6.4,-99
2024,05,16,02,20,0.6,0.6,5.3,0.0,MM,,,,6.7,-99
2024,05,16,01,20,0.6,0.6,5.3,0.0,MM,,,,7.0,-99
2024,05,16,00,20,0.6,0.6,7.1,0.0,MM,,,,6.8,-99
2024,05,15,23,20,0.6,0.6,5.6,0.0,MM,,,,6.6,-99
2024,05,15,22,20,0.5,0.5,7.1,0.0,MM,,,,6.0,-99
2024,05,15,21,20,0.5,0.5,7.7,0.0,MM,,,,5.8,-99
2024,05,15,20,20,0.5,0.5,7.7,0.1,2.0,,,,5.5,-99
2024,05,15,19,20,0.5,0.5,7.7,0.2,2.0,,,,5.3,-99
2024,05,15,18,20,0.5,0.5,5.9,0.1,2.2,,,,5.4,-99
2024,05,15,17,20,0.5,0.5,5.9,0.3,2.3,,,,5.0,-99
2024,05,15,16,20,0.6,0.5,5.9,0.3,1.9,,,,4.8,-99
2024,05,15,15,20,0.6,0.5,5.9,0.4,2.1,,,,4.8,-99
2024,05,15,14,20,0.6,0.5,8.3,0.2,3.7,,,,5.4,-99
2024,05,15,13,20,0.5,0.5,8.3,0.2,2.3,,,,5.7,-99
2024,05,15,12,20,0.5,0.5,8.3,0.2,2.1,,,,5.8,-99
2024,05,15,11,20,0.5,0.5,8.3,0.2,2.4,,,,5.7,-99
2024,05,15,10,20,0.5,0.4,7.1,0.3,2.3,,,,5.4,-99
2024,05,15,09,20,0.5,0.4,7.1,0.3,2.7,,,,5.2,-99
2024,05,15,08,20,0.5,0.4,8.3,0.3,2.3,,,,5.2,-99
2024,05,15,07,20,0.5,0.4,9.1,0.3,2.3,,,,5.0,-99
2024,05,15,06,20,0.5,0.4,6.7,0.4,1.8,,,,4.8,-99
2024,05,15,05,20,0.5,0.3,9.1,0.3,2.1,,,,4.8,-99
2024,05,15,04,20,0.5,0.3,8.3,0.4,1.7,,,,4.7,-99
2024,05,15,03,20,0.5,0.3,8.3,0.4,2.3,,,,4.7,-99
2024,05,15,02,20,0.5,0.3,8.3,0.4,2.3,,,,4.9,-99
2024,05,15,01,20,0.5,0.3,8.3,0.4,2.3,,,,4.8,-99
2024,05,15,00,20,0.5,0.3,8.3,0.4,2.3,,,,5.1,-99
2024,05,14,23,20,0.5,0.3,9.1,0.4,2.2,,,,5.0,-99
2024,05,14,22,20,0.5,0.3,4.2,0.4,2.3,,,,5.0,-99
2024,05,14,21,20,0.5,0.3,9.1,0.4,2.1,,,,4.9,-99
2024,05,14,20,20,0.4,0.3,8.3,0.4,2.1,,,,4.9,-99
2024,05,14,19,20,0.4,0.3,9.1,0.3,2.2,,,,5.0,-99
2024,05,14,18,20,0.4,0.3,7.7,0.3,2.1,,,,5.0,-99
2024,05,14,17,20,0.4,0.3,8.3,0.3,2.2,,,,4.8,-99
2024,05,14,16,20,0.4,0.3,9.1,0.3,2.2,,,,4.9,-99
2024,05,14,15,20,0.5,0.3,9.1,0.3,2.1,,,,4.8,-99
2024,05,14,14,20,0.5,0.4,8.3,0.3,2.3,,,,4.8,-99
2024,05,14,13,20,0.5,0.4,4.5,0.3,1.8,,,,4.8,-99
2024,05,14,12,20,0.5,0.3,8.3,0.3,2.1,,,,4.8,-99
2024,05,14,11,20,0.5,0.3,8.3,0.4,1.9,,,,4.9,-99
2024,05,14,10,20,0.5,0.3,5.3,0.3,1.8,,,,4.9,-99
2024,05,14,09,20,0.5,0.4,5.3,0.3,1.8,,,,5.0,-99
2024,05,14,08,20,0.5,0.3,9.1,0.4,1.8,,,,4.8,-99
2024,05,14,07,20,0.5,0.3,9.1,0.4,2.0,,,,4.8,-99
2024,05,14,06,20,0.6,0.3,5.3,0.5,1.9,,,,4.8,-99
2024,05,14,05,20,0.5,0.3,9.1,0.4,2.3,,,,4.8,-99
2024,05,14,04,20,0.5,0.3,9.1,0.3,2.4,,,,4.9,-99
2024,05,14,03,20,0.5,0.3,9.1,0.3,2.5,,,,4.9,-99
2024,05,14,02,20,0.5,0.3,9.1,0.4,2.5,,,,4.8,-99
2024,05,14,01,20,0.6,0.4,9.1,0.4,2.4,,,,4.9,-99
2024,05,14,00,20,0.5,0.3,9.1,0.4,2.4,,,,5.0,-99
2024,05,13,23,20,0.5,0.3,9.1,0.4,2.4,,,,5.2,-99
