#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,16,45,0.6,MM,MM,MM,MM,MM,MM,,4.0,151
2024,05,18,15,45,0.5,MM,MM,MM,MM,MM,MM,,4.1,146
2024,05,18,14,45,0.5,MM,MM,MM,MM,MM,MM,,4.2,148
2024,05,18,13,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,152
2024,05,18,12,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,157
2024,05,18,11,45,0.6,MM,MM,MM,MM,MM,MM,,3.9,156
2024,05,18,10,45,0.6,MM,MM,MM,MM,MM,MM,,3.8,157
2024,05,18,09,45,0.6,MM,MM,MM,MM,MM,MM,,3.6,157
2024,05,18,08,45,0.6,MM,MM,MM,MM,MM,MM,,3.4,164
2024,05,18,07,45,0.6,MM,MM,MM,MM,MM,MM,,3.4,164
2024,05,18,06,45,0.5,MM,MM,MM,MM,MM,MM,,3.3,138
2024,05,18,05,45,0.4,MM,MM,MM,MM,MM,MM,,3.5,125
2024,05,18,04,45,0.4,MM,MM,MM,MM,MM,MM,,3.5,121
2024,05,18,03,45,0.5,MM,MM,MM,MM,MM,MM,,3.6,119
2024,05,18,02,45,0.4,MM,MM,MM,MM,MM,MM,,3.4,114
2024,05,18,01,45,0.4,MM,MM,MM,MM,MM,MM,,3.5,116
2024,05,18,00,45,0.4,MM,MM,MM,MM,MM,MM,,4.0,124
2024,05,17,23,45,0.4,MM,MM,MM,MM,MM,MM,,4.3,121
2024,05,17,22,45,0.4,MM,MM,MM,MM,MM,MM,,4.2,119
2024,05,17,21,45,0.4,MM,MM,MM,MM,MM,MM,,4.2,124
2024,05,17,20,45,0.4,MM,MM,MM,MM,MM,MM,,4.7,126
2024,05,17,19,45,0.4,MM,MM,MM,MM,MM,MM,,5.0,139
2024,05,17,18,45,0.4,MM,MM,MM,MM,MM,MM,,5.0,155
2024,05,17,17,45,0.4,MM,MM,MM,MM,MM,MM,,4.9,145
2024,05,17,16,45,0.4,MM,MM,MM,MM,MM,MM,,4.8,146
2024,05,17,15,45,0.4,MM,MM,MM,MM,MM,MM,,4.8,142
2024,05,17,14,45,0.4,MM,MM,MM,MM,MM,MM,,4.9,144
2024,05,17,13,45,0.4,MM,MM,MM,MM,MM,MM,,4.7,160
2024,05,17,12,45,0.4,MM,MM,MM,MM,MM,MM,,4.7,160
2024,05,17,11,45,0.4,MM,MM,MM,MM,MM,MM,,4.7,159
2024,05,17,10,45,0.5,MM,MM,MM,MM,MM,MM,,4.7,159
2024,05,17,09,45,0.5,MM,MM,MM,MM,MM,MM,,4.7,161
2024,05,17,08,45,0.5,MM,MM,MM,MM,MM,MM,,4.6,162
2024,05,17,07,45,0.6,MM,MM,MM,MM,MM,MM,,4.6,159
2024,05,17,06,45,0.6,MM,MM,MM,MM,MM,MM,,4.6,155
2024,05,17,05,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,154
2024,05,17,04,45,0.6,MM,MM,MM,MM,MM,MM,,4.1,156
2024,05,17,03,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,157
2024,05,17,02,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,160
2024,05,17,01,45,0.6,MM,MM,MM,MM,MM,MM,,4.2,163
2024,05,17,00,45,0.5,MM,MM,MM,MM,MM,MM,,4.8,161
2024,05,16,23,45,0.6,MM,MM,MM,MM,MM,MM,,4.9,161
2024,05,16,22,45,0.6,MM,MM,MM,MM,MM,MM,,4.8,157
2024,05,16,21,45,0.6,MM,MM,MM,MM,MM,MM,,4.8,157
2024,05,16,20,45,0.6,MM,MM,MM,MM,MM,MM,,5.1,152
2024,05,16,19,45,0.6,MM,MM,MM,MM,MM,MM,,5.3,152
2024,05,16,18,45,0.6,MM,MM,MM,MM,MM,MM,,5.3,156
2024,05,16,17,45,0.6,MM,MM,MM,MM,MM,MM,,5.3,159
2024,05,16,16,45,0.6,MM,MM,MM,MM,MM,MM,,5.5,167
2024,05,16,15,45,0.6,MM,MM,MM,MM,MM,MM,,5.9,176
2024,05,16,14,45,0.6,MM,MM,MM,MM,MM,MM,,5.8,176
2024,05,16,13,45,0.6,MM,MM,MM,MM,MM,MM,,5.8,175
2024,05,16,12,45,0.6,MM,MM,MM,MM,MM,MM,,5.7,171
2024,05,16,11,45,0.6,MM,MM,MM,MM,MM,MM,,5.7,171
2024,05,16,10,45,0.7,MM,MM,MM,MM,MM,MM,,5.4,172
2024,05,16,09,45,0.8,MM,MM,MM,MM,MM,MM,,5.2,176
2024,05,16,08,45,0.8,MM,MM,MM,MM,MM,MM,,5.2,179
2024,05,16,07,45,0.9,MM,MM,MM,MM,MM,MM,,5.3,179
2024,05,16,06,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,174
2024,05,16,05,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,173
2024,05,16,04,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,174
2024,05,16,03,45,1.1,MM,MM,MM,MM,MM,MM,STEEP,5.1,174
2024,05,16,02,45,1.2,MM,MM,MM,MM,MM,MM,AVERAGE,5.0,172
2024,05,16,01,45,1.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.2,175
2024,05,16,00,45,1.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,4.7,177
2024,05,15,23,45,1.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.4,171
2024,05,15,22,45,1.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,4.9,168
2024,05,15,21,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,161
2024,05,15,20,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,159
2024,05,15,19,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,159
2024,05,15,18,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,5.2,156
2024,05,15,17,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,4.9,154
2024,05,15,16,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,5.0,155
2024,05,15,15,45,1.0,MM,MM,MM,MM,MM,MM,AVERAGE,4.8,155
2024,05,15,14,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,4.9,154
2024,05,15,13,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.2,155
2024,05,15,12,45,0.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,157
2024,05,15,11,45,0.9,MM,MM,MM,MM,MM,MM,,5.4,158
2024,05,15,10,45,1.0,MM,MM,MM,MM,MM,MM,,5.2,157
2024,05,15,09,45,1.0,MM,MM,MM,MM,MM,MM,,5.4,155
2024,05,15,08,45,1.1,MM,MM,MM,MM,MM,MM,,5.5,159
2024,05,15,07,45,1.1,MM,MM,MM,MM,MM,MM,,5.5,151
2024,05,15,06,45,1.2,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,153
2024,05,15,05,45,1.3,MM,MM,MM,MM,MM,MM,AVERAGE,5.7,153
2024,05,15,04,45,1.3,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,152
2024,05,15,03,45,1.4,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,153
2024,05,15,02,45,1.4,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,153
2024,05,15,01,45,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,152
2024,05,15,00,45,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.7,158
2024,05,14,23,45,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,159
2024,05,14,22,45,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,158
2024,05,14,21,45,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,157
2024,05,14,20,45,1.7,MM,MM,MM,MM,MM,MM,STEEP,5.2,157
2024,05,14,19,45,1.6,MM,MM,MM,MM,MM,MM,STEEP,5.2,158
