#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,14,22,00,0.5,MM,MM,0.5,5.0,MM,MM,,MM,-99
2024,05,14,21,00,0.5,MM,MM,0.5,5.0,MM,MM,,MM,-99
2024,05,14,18,00,0.5,MM,MM,0.5,5.0,MM,MM,,MM,-99
2024,05,14,16,00,0.5,MM,MM,0.5,6.0,MM,MM,,MM,-99
2024,05,13,22,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,13,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,12,22,00,2.5,MM,MM,2.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,12,21,00,2.5,MM,MM,2.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,12,18,00,2.5,MM,MM,2.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,11,22,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,11,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,11,18,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,11,16,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,11,15,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,10,22,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,10,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,10,18,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,09,22,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,09,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,09,16,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,09,15,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,18,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,15,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,10,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,09,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,06,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,04,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,07,03,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,06,22,00,2.0,MM,MM,2.0,6.0,MM,MM,VERY_STEEP,MM,-99
2024,05,06,21,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,05,06,18,00,2.5,MM,MM,2.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,05,06,16,00,2.5,MM,MM,2.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,05,06,15,00,2.5,MM,MM,2.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,05,02,16,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,02,15,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,02,12,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,01,22,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,01,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,01,18,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,05,01,16,00,1.0,MM,MM,1.0,3.0,MM,MM,VERY_STEEP,MM,-99
2024,05,01,12,00,1.0,MM,MM,1.0,3.0,MM,MM,VERY_STEEP,MM,-99
2024,04,30,22,00,0.5,MM,MM,0.5,3.0,MM,MM,,MM,-99
2024,04,30,21,00,0.5,MM,MM,0.5,3.0,MM,MM,,MM,-99
2024,04,30,16,00,1.0,MM,MM,1.0,3.0,MM,MM,VERY_STEEP,MM,-99
2024,04,29,22,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,29,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,28,21,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,27,22,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,27,21,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,26,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,26,18,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,26,15,00,1.5,MM,MM,1.5,8.0,MM,MM,AVERAGE,MM,-99
2024,04,25,21,00,1.5,MM,MM,1.5,7.0,MM,MM,STEEP,MM,-99
2024,04,24,22,00,1.0,MM,MM,1.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,24,21,00,1.0,MM,MM,1.0,6.0,MM,MM,STEEP,MM,-99
2024,04,24,18,00,1.0,MM,MM,1.0,7.0,MM,MM,AVERAGE,MM,-99
2024,04,23,22,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,23,21,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,23,15,00,1.0,MM,MM,1.0,7.0,MM,MM,AVERAGE,MM,-99
2024,04,22,22,00,1.0,MM,MM,1.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,22,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,21,22,00,3.5,MM,MM,3.5,7.0,MM,MM,VERY_STEEP,MM,-99
2024,04,21,21,00,4.0,MM,MM,4.0,7.0,MM,MM,VERY_STEEP,MM,-99
2024,04,20,22,00,3.0,MM,MM,3.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,20,21,00,3.0,MM,MM,3.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,18,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,16,22,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,16,21,00,1.0,MM,MM,1.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,15,22,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,15,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,15,18,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,14,22,00,4.5,MM,MM,4.5,7.0,MM,MM,VERY_STEEP,MM,-99
2024,04,14,21,00,4.0,MM,MM,4.0,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,11,22,00,4.5,MM,MM,4.5,7.0,MM,MM,VERY_STEEP,MM,-99
2024,04,11,21,00,4.0,MM,MM,4.0,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,11,16,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,11,15,00,3.0,MM,MM,3.0,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,10,22,00,1.0,MM,MM,1.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,10,21,00,1.0,MM,MM,1.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,10,18,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,10,15,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,09,21,00,1.5,MM,MM,1.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,08,22,00,2.5,MM,MM,2.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,08,21,00,2.0,MM,MM,2.0,5.0,MM,MM,VERY_STEEP,MM,-99
2024,04,08,18,00,2.0,MM,MM,2.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,08,16,00,2.5,MM,MM,2.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,07,22,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,07,21,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,07,18,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,07,16,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
2024,04,06,18,00,2.0,MM,MM,2.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,05,22,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,05,21,00,1.5,MM,MM,1.5,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,05,18,00,2.0,MM,MM,2.0,4.0,MM,MM,VERY_STEEP,MM,-99
2024,04,01,21,00,2.5,MM,MM,2.5,5.0,MM,MM,VERY_STEEP,MM,-99
2024,03,31,21,00,3.5,MM,MM,3.5,6.0,MM,MM,VERY_STEEP,MM,-99
