,stations
0,1801583
1,1801589
2,21413
3,21414
4,21415
5,21416
6,21417
7,21418
8,21419
9,21420
10,32301
11,32302
12,32411
13,32412
14,32413
15,32D12
16,32D13
17,41001
18,41002
19,41003
20,41004
21,41005
22,41006
23,41007
24,41008
25,41009
26,41010
27,41011
28,41012
29,41013
30,41015
31,41016
32,41017
33,41018
34,41021
35,41022
36,41023
37,41025
38,41035
39,41036
40,41040
41,41041
42,41043
43,41044
44,41046
45,41047
46,41048
47,41049
48,41420
49,41421
50,41424
51,41425
52,41A46
53,41B41
54,41D20
55,41S43
56,41S46
57,42001
58,42002
59,42003
60,42004
61,42005
62,42006
63,42007
64,42008
65,42009
66,42010
67,42011
68,42012
69,42015
70,42016
71,42017
72,42018
73,42019
74,42020
75,42025
76,42035
77,42036
78,42037
79,42038
80,42039
81,42040
82,42041
83,42042
84,42053
85,42054
86,42055
87,42056
88,42057
89,42058
90,42059
91,42060
92,42065
93,42080
94,42407
95,42408
96,42409
97,42429
98,42501
99,42503
100,42534
101,43412
102,43413
103,44001
104,44003
105,44004
106,44005
107,44006
108,44007
109,44008
110,44009
111,44010
112,44011
113,44012
114,44013
115,44014
116,44015
117,44017
118,44018
119,44019
120,44020
121,44023
122,44025
123,44026
124,44027
125,44028
126,44065
127,44066
128,44070
129,44071
130,44401
131,44402
132,44403
133,44585
134,45001
135,45002
136,45003
137,45004
138,45005
139,45006
140,45007
141,45008
142,45009
143,45010
144,45011
145,45012
146,46001
147,46002
148,46003
149,46005
150,46006
151,46007
152,46008
153,46009
154,46010
155,46011
156,46012
157,46013
158,46014
159,46015
160,46016
161,46017
162,46018
163,46019
164,46020
165,46021
166,46022
167,46023
168,46024
169,46025
170,46026
171,46027
172,46028
173,46029
174,46030
175,46031
176,46032
177,46033
178,46034
179,46035
180,46037
181,46038
182,46039
183,46040
184,46041
185,46042
186,46043
187,46045
188,46047
189,46048
190,46050
191,46051
192,46053
193,46054
194,46059
195,46060
196,46061
197,46062
198,46063
199,46066
200,46069
201,46070
202,46071
203,46072
204,46073
205,46075
206,46076
207,46077
208,46078
209,46079
210,46080
211,46081
212,46082
213,46083
214,46084
215,46085
216,46086
217,46087
218,46088
219,46089
220,46090
221,46105
222,46106
223,46107
224,46115
225,46270
226,46290
227,46401
228,46402
229,46403
230,46404
231,46405
232,46406
233,46407
234,46408
235,46409
236,46410
237,46411
238,46412
239,46413
240,46414
241,46415
242,46416
243,46419
244,46490
245,46551
246,46553
247,46779
248,46780
249,46781
250,46782
251,46785
252,46B35
253,46D04
254,48011
255,51000
256,51001
257,51002
258,51003
259,51004
260,51005
261,51026
262,51027
263,51028
264,51100
265,51101
266,51406
267,51407
268,51425
269,51426
270,51542
271,52009
272,52401
273,52402
274,52403
275,52404
276,52405
277,52406
278,54401
279,91204
280,91222
281,91251
282,91328
283,91338
284,91343
285,91352
286,91355
287,91356
288,91365
289,91374
290,91377
291,91411
292,91442
293,ABAN6
294,ALRF1
295,ALSN6
296,AMAA2
297,AUGA2
298,BLIA2
299,BURL1
300,BUSL1
301,BUZM3
302,CARO3
303,CDRF1
304,CHLV2
305,CLKN7
306,CSBF1
307,DBLN6
308,DESW1
309,DISW3
310,DPIA1
311,DRFA2
312,DRYF1
313,DSLN7
314,DUCN7
315,EB01
316,EB10
317,EB31
318,EB32
319,EB33
320,EB35
321,EB36
322,EB43
323,EB52
324,EB53
325,EB61
326,EB62
327,EB70
328,EB90
329,EB91
330,EB92
331,FARP2
332,FBIS1
333,FFIA2
334,FILA2
335,FPSN7
336,FWYF1
337,GBCL1
338,GDIL1
339,GLLN6
340,IOSN3
341,KTNF1
342,LNEL1
343,LONF1
344,LPOI1
345,MDRM1
346,MISM1
347,MLRF1
348,MPCL1
349,MRKA2
350,NWPO3
351,PILA2
352,PILM4
353,PLSF1
354,POTA2
355,PTAC1
356,PTAT2
357,PTGC1
358,ROAM4
359,SANF1
360,SAUF1
361,SBIO1
362,SGNW3
363,SGOF1
364,SISW1
365,SJLF1
366,SMKF1
367,SPGF1
368,SRST2
369,STDM4
370,SUPN6
371,SVLS1
372,THIN6
373,TPLM2
374,TTIW1
375,VENF1
376,WPOW1
377,46108
378,46265
379,48114
380,41554
381,41670
382,41852
383,41904
384,41933
385,52834
386,52837
387,52838
388,52839
389,52840
390,52841
391,52842
392,52843
393,52849
394,52858
395,52862
396,52901
397,46246
398,46255
399,53046
400,55012
401,55013
402,55015
403,55016
404,55023
405,55042
406,55401
407,56001
408,56003
409,31051
410,31052
411,31053
412,31260
413,CPXC1
414,MBXC1
415,DMBC1
416,NLEC1
417,41051
418,41052
419,41053
420,41056
421,41058
422,41115
423,41121
424,42085
425,IMGP4
426,PTRP4
427,41027
428,41030
429,SNSN7
430,CQUC1
431,HBXC1
432,MYXC1
433,TDPC1
434,TIBC1
435,44041
436,44042
437,44043
438,44057
439,44058
440,44059
441,44061
442,44062
443,44063
444,44064
445,44068
446,44072
447,44044
448,CBIM2
449,45015
450,45016
451,45017
452,45018
453,45019
454,45177
455,FSTI2
456,JAKI2
457,OKSI2
458,45200
459,45201
460,45202
461,45203
462,45204
463,45205
464,45206
465,45207
466,45208
467,46096
468,46116
469,46117
470,46127
471,DMNO3
472,GPTW1
473,HMNO3
474,JTAW1
475,LSIO3
476,PRTO3
477,SEFO3
478,SETO3
479,SRAW1
480,SRFW1
481,TANO3
482,TNSO3
483,WDYO3
484,42013
485,42014
486,42021
487,42022
488,42023
489,42024
490,42026
491,ANCF1
492,ANMF1
493,ARPF1
494,BGCF1
495,CAMF1
